,exp_grp,exp_name,exp_has_peptide,exp_sta_conc,exp_cell_count,exp_rep,xbin,value
191,20190719-co-culture,10.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,10.00mT,r3,01,3.489320123930244
192,20190719-co-culture,10.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,10.00mT,r3,02,3.4689348016082877
193,20190719-co-culture,10.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,10.00mT,r3,03,3.306221162262613
194,20190719-co-culture,10.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,10.00mT,r3,04,3.262942041281195
195,20190719-co-culture,10.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,10.00mT,r3,05,3.2988564982872846
196,20190719-co-culture,10.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,10.00mT,r3,06,3.3760685058602484
197,20190719-co-culture,10.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,10.00mT,r3,07,3.3842146596931544
198,20190719-co-culture,10.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,10.00mT,r3,08,3.3360189602026877
199,20190719-co-culture,10.0mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,10.00mT,r1,00,3.9388780755432293
200,20190719-co-culture,10.0mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,10.00mT,r1,01,3.831533039060584
201,20190719-co-culture,10.0mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,10.00mT,r1,02,3.697732895477746
202,20190719-co-culture,10.0mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,10.00mT,r1,03,3.6539424437780794
203,20190719-co-culture,10.0mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,10.00mT,r1,04,3.5857216356643913
204,20190719-co-culture,10.0mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,10.00mT,r1,05,3.507633386597028
205,20190719-co-culture,10.0mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,10.00mT,r1,06,3.3802675687741917
206,20190719-co-culture,10.0mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,10.00mT,r1,07,3.3619837993298813
